Age,Priors,Label
69,0,0
34,0,1
24,5,1
44,0,0
41,14,1
43,3,0
39,0,0
21,1,1
27,0,0
23,3,1
37,0,0
41,0,0
47,1,1
31,7,1
25,3,0
31,6,1
31,5,1
64,13,1
27,0,1
21,0,0
24,1,1
43,1,0
32,0,0
27,8,1
36,3,0
26,6,1
33,0,1
30,9,1
32,4,1
55,0,0
49,7,1
26,8,0
33,4,1
34,27,1
29,0,0
21,2,0
51,2,0
29,2,1
51,7,0
29,0,1
25,9,1
35,18,1
49,0,0
34,4,1
29,1,1
28,0,0
48,20,1
63,1,0
31,16,0
24,2,1
30,0,0
49,4,0
53,8,0
35,5,0
63,10,1
27,19,1
38,4,1
22,2,1
22,5,1
29,4,1
62,0,0
27,7,1
33,0,0
56,0,0
45,6,1
22,1,0
39,1,0
29,5,1
27,2,1
40,2,0
22,1,1
22,0,0
26,1,1
27,1,1
41,1,0
30,8,1
50,0,1
25,22,1
20,0,1
22,3,1
35,1,0
36,9,1
26,7,1
20,0,0
39,2,1
66,3,0
54,0,0
19,1,1
24,1,0
30,1,0
39,0,1
24,11,1
31,0,0
59,14,1
21,3,1
38,5,1
34,0,0
33,5,1
37,3,0
42,1,1
41,11,1
22,0,1
33,42,1
31,1,0
31,13,1
27,3,1
56,8,0
52,3,0
33,19,1
64,2,0
22,4,1
42,6,0
25,2,0
37,2,0
28,0,1
24,0,0
29,11,1
44,2,1
30,4,1
32,3,1
31,2,1
59,1,1
20,2,0
43,0,0
38,11,1
32,11,1
33,8,1
31,0,1
33,7,1
26,0,0
61,1,1
52,13,1
29,1,0
26,2,1
55,3,0
30,3,1
48,2,0
46,6,1
49,6,0
25,1,1
23,0,0
32,5,0
52,2,0
62,8,0
37,6,0
55,1,0
31,8,1
28,6,1
54,2,0
58,0,0
78,1,1
38,27,1
47,23,1
23,0,1
57,1,0
38,2,1
45,8,1
32,13,1
37,2,1
26,9,1
45,2,0
34,2,0
23,1,0
36,2,1
50,1,0
44,4,0
35,24,1
43,11,1
28,7,1
38,2,0
27,2,0
28,1,0
56,7,1
38,15,0
28,2,0
45,3,0
61,1,0
51,0,1
51,0,0
36,1,1
48,0,0
37,4,1
30,2,0
41,5,0
27,11,1
54,11,0
23,2,0
52,0,0
43,13,1
30,13,1
30,4,0
25,4,0
37,0,1
32,15,0
26,5,0
53,1,0
28,25,1
44,8,1
25,0,0
40,3,0
36,8,1
23,2,1
23,9,1
20,1,1
30,2,1
27,4,0
31,2,0
30,11,1
32,2,0
41,2,0
44,24,0
52,3,1
28,3,1
70,1,0
54,6,1
46,3,0
21,0,1
38,3,1
34,5,0
34,5,1
39,6,1
33,1,1
58,2,0
21,1,0
23,5,1
27,6,1
37,5,0
43,2,1
44,0,1
42,0,0
24,10,1
29,7,0
53,6,0
27,8,0
24,3,1
53,36,1
28,2,1
21,4,0
36,0,0
25,2,1
30,1,1
51,1,0
33,3,0
47,3,0
32,1,1
19,4,1
49,3,0
29,3,0
60,0,0
34,2,1
36,1,0
21,4,1
34,1,0
50,1,1
40,0,1
25,7,1
42,1,0
26,8,1
21,3,0
37,23,1
35,2,0
53,2,0
48,24,1
27,12,1
28,5,0
47,5,1
36,14,1
68,2,0
56,5,0
27,9,1
52,4,1
32,3,0
60,4,0
53,11,0
25,0,1
28,8,1
29,8,0
58,21,1
22,3,0
48,1,1
57,1,1
27,3,0
26,3,0
29,2,0
19,2,1
36,2,0
20,3,1
61,4,0
50,3,0
38,5,0
45,16,0
46,2,1
41,0,1
27,13,1
51,16,0
29,3,1
52,6,1
28,1,1
55,5,1
26,12,1
63,2,0
23,11,0
54,28,1
35,9,1
