Sex,Age,ChargeDegree,DaysInJail,DaysInCustody,Priors,Label
Male,69,F,0,7,0,0
Male,34,F,10,10,0,1
Male,24,F,1,0,5,1
Male,44,M,1,1,0,0
Male,41,F,6,18,14,1
Male,43,F,0,12,3,0
Female,39,M,2,3,0,0
Male,21,F,0,1,1,1
Male,27,F,1,1,0,0
Male,23,M,4,4,3,1
Female,37,M,0,1,0,0
Male,41,F,0,1,0,0
Female,47,F,14,169,1,1
Male,31,F,3,3,7,1
Male,37,M,0,0,0,0
Male,25,F,1,62,3,0
Male,31,F,1,1,6,1
Male,31,F,1,31,5,1
Male,64,F,1,1,13,1
Male,21,F,3,1,1,1
Male,27,M,0,0,0,1
Female,21,F,1,1,0,0
Male,24,F,0,1,1,1
Male,43,M,1,1,1,0
Male,32,M,1,2,0,0
Male,27,F,17,1,8,1
Female,36,F,0,1,3,0
Male,26,F,0,8,6,1
Male,33,F,37,21,0,1
Male,30,F,44,1,9,1
Male,32,F,1,2,4,1
Male,55,F,2,2,0,0
Male,49,F,3,1,7,1
Male,26,M,12,12,8,0
Female,33,M,11,11,4,1
Male,24,M,1,3,1,1
Male,34,F,33,178,27,1
Male,29,M,0,0,0,0
Female,21,F,79,1,2,0
Male,51,M,1,1,2,0
Male,29,M,0,1,2,1
Female,51,F,1,8,7,0
Male,29,F,0,28,0,1
Male,25,M,6,9,9,1
Male,35,F,0,1,18,1
Male,49,M,0,0,0,0
Male,34,M,51,51,4,1
Male,29,F,0,0,0,0
Male,29,F,0,0,1,1
Female,28,F,0,1,0,0
Male,48,F,10,1940,20,1
Female,63,F,8,8,1,0
Male,31,F,135,136,16,0
Male,24,F,1,2,2,1
Male,30,M,23,23,0,0
Male,49,M,0,1,4,0
Male,53,F,13,13,8,0
Male,35,F,0,1,5,0
Male,63,M,35,36,10,1
Male,27,F,1,5,19,1
Male,38,M,1,2,4,1
Male,22,F,1,1,2,1
Male,22,F,124,124,5,1
Male,29,F,18,98,4,1
Male,62,M,0,0,0,0
Male,27,F,30,1,7,1
Male,33,M,1,1,0,0
Female,56,M,3,3,0,0
Male,45,F,241,242,6,1
Male,22,F,1,1,1,0
Male,39,M,4,5,1,0
Male,29,F,1,1,5,1
Male,27,F,14,58,2,1
Male,40,F,3,3,2,0
Male,22,M,16,21,1,1
Male,22,F,57,21,0,0
Female,26,F,2,58,1,1
Male,27,F,19,137,1,1
Male,32,F,1,1,0,0
Male,41,M,1,2,1,0
Male,30,M,1,1,8,1
Male,50,F,0,2,0,1
Male,25,F,7,19,22,1
Male,20,F,1,423,0,1
Male,22,F,30,30,3,1
Male,23,M,0,1,3,1
Female,35,M,0,1,1,0
Male,36,F,3,4,9,1
Male,26,F,0,10,7,1
Male,21,F,3,98,1,1
Male,25,F,0,2,9,1
Female,20,F,0,1,0,0
Male,39,F,0,22,2,1
Male,66,F,30,30,3,0
Female,54,M,0,0,0,0
Female,44,M,1,1,0,0
Male,19,M,9,6,1,1
Male,24,F,137,0,1,0
Male,30,F,0,1,1,0
Female,39,F,1,2,0,1
Male,24,F,12,12,11,1
Male,30,F,5,27,0,0
Male,31,M,38,39,0,0
Female,39,F,106,5,1,0
Male,59,F,109,110,14,1
Male,43,F,1,1,1,0
Male,21,F,6,302,3,1
Male,38,M,2,1,5,1
Male,34,F,14,69,0,0
Male,33,F,0,0,5,1
Male,37,F,1,7,3,0
Male,42,F,0,1,1,1
Male,41,F,176,41,11,1
Male,22,F,0,0,0,1
Male,33,F,1,1,42,1
Male,31,M,1,1,1,0
Female,30,F,1,8,1,0
Male,31,F,471,471,13,1
Male,27,F,0,1,3,1
Male,56,F,79,80,8,0
Male,52,M,0,1,3,0
Male,33,F,0,32,19,1
Female,64,M,0,0,2,0
Male,22,F,14,19,4,1
Male,42,F,0,86,6,0
Female,25,F,3,21,2,0
Male,30,M,3,4,1,0
Female,37,M,1,2,2,0
Male,28,M,0,0,0,1
Female,24,M,2,2,0,0
Female,29,F,7,38,11,1
Male,44,M,0,0,2,1
Female,30,F,0,241,4,1
Male,32,F,8,8,3,1
Male,31,M,15,15,2,1
Male,59,F,0,55,1,1
Female,20,F,2,9,2,0
Female,43,M,0,1,0,0
Male,38,F,13,1,11,1
Male,32,F,1,36,11,1
Male,33,M,0,0,8,1
Female,31,F,1,35,0,1
Female,33,F,26,19,7,1
Male,27,F,1,0,2,1
Female,20,F,0,0,0,0
Female,26,M,0,1,0,0
Female,61,F,0,1,1,1
Male,52,F,1,0,13,1
Male,63,F,14,15,1,0
Female,32,F,6,118,4,1
Male,29,F,0,1,1,0
Female,26,M,0,1,2,1
Male,55,M,1,1,3,0
Female,30,F,530,530,3,1
Male,30,F,70,3,1,0
Male,48,M,0,1,2,0
Male,22,F,0,188,1,0
Male,46,F,22,23,6,1
Female,49,F,5,5,6,0
Male,31,F,2,50,0,0
Male,25,M,1,4,1,1
Male,23,F,0,0,0,0
Female,32,F,1,1,5,0
Male,52,M,3,35,2,0
Male,62,F,15,16,8,0
Female,37,F,105,188,6,0
Male,55,F,18,18,1,0
Male,31,F,117,117,8,1
Male,28,M,0,16,6,1
Male,54,F,188,188,2,0
Male,58,F,0,77,0,0
Male,78,M,0,1,1,1
Male,56,F,1,1,0,0
Male,24,F,1,2,0,0
Male,38,F,33,28,27,1
Male,22,F,0,0,1,1
Male,47,M,0,34,23,1
Male,23,M,1,9,0,1
Male,57,F,19,20,1,0
Female,38,F,0,8,2,1
Male,66,F,2,2,3,0
Male,45,M,71,11,8,1
Male,32,F,97,97,13,1
Male,37,M,0,32,2,1
Male,39,F,0,1,0,1
Male,26,F,79,106,9,1
Male,45,F,358,359,2,0
Male,23,F,0,193,0,1
Male,34,M,25,23,2,0
Female,23,M,0,1,1,0
Male,36,M,2,77,2,1
Male,50,F,1,1,1,0
Female,37,M,0,0,0,0
Male,44,M,1,1,4,0
Female,35,F,2,2,24,1
Male,24,F,0,1,5,1
Male,26,F,1,18,2,1
Male,27,M,2,3,0,0
Female,28,F,29,29,0,0
Male,43,F,121,384,11,1
Female,28,F,1,1504,7,1
Male,38,F,1,0,2,0
Male,27,M,36,36,2,0
Female,28,F,38,79,1,0
Male,56,F,0,1,7,1
Male,38,F,1,2,15,0
Male,28,M,0,1,2,0
Male,45,F,218,219,3,0
Male,61,F,0,1,1,0
Female,51,M,0,67,0,1
Male,51,M,0,1,0,0
Male,36,M,1,0,1,1
Male,48,F,1,1,0,0
Male,37,F,1,2,4,1
Female,30,F,2,3,2,0
Female,41,M,0,0,5,0
Male,27,F,223,223,11,1
Male,37,M,1,13,0,0
Male,33,F,2,2,4,1
Male,54,F,129,130,11,0
Male,23,F,71,72,2,0
Female,26,F,226,227,2,1
Male,41,M,0,1,0,0
Male,52,F,0,1,0,0
Male,43,F,51,230,13,1
Male,52,F,13,14,0,0
Male,28,F,3,3,1,0
Male,30,M,1,6,13,1
Male,28,F,6,6,1,0
Male,22,F,0,1,0,0
Male,30,F,0,0,4,0
Male,25,F,1,1,4,0
Male,31,F,30,42,0,1
Male,37,F,35,18,0,1
Male,32,F,1,1,15,0
Male,26,M,75,76,5,0
Male,53,M,1,1,1,0
Male,28,F,25,26,25,1
Male,44,M,4,5,8,1
Male,25,F,0,0,0,0
Male,22,M,5,7,2,1
Female,37,M,1,1,0,0
Female,40,F,1,1,3,0
Male,36,F,22,22,8,1
Male,30,F,62,62,4,0
Male,22,M,0,16,3,1
Female,24,M,29,1,1,1
Male,27,M,6,2,3,1
Female,31,M,0,1,0,0
Male,23,F,1,1,2,1
Female,23,F,0,1,9,1
Male,24,M,0,1,0,0
Male,29,M,0,1,1,0
Male,20,F,1,121,1,1
Male,30,F,1,2,2,1
Male,39,F,0,1,0,0
Male,27,F,0,13,4,0
Male,31,M,10,11,2,0
Female,37,F,0,14,2,0
Male,20,F,2,3,0,0
Male,22,F,2,7,1,0
Female,52,F,0,1,0,0
Female,23,F,3,4,0,1
Female,48,F,1,2,0,0
Male,25,F,0,5,0,0
Male,27,F,1,242,0,1
Male,30,F,1,1,11,1
Male,22,M,1,2,5,1
Female,22,F,0,1,1,0
Male,32,F,40,40,2,0
Female,41,M,0,1,2,0
Female,25,F,0,1,0,0
Male,44,M,117,118,24,0
Male,52,F,24,42,3,1
Male,43,F,41,41,0,0
Male,37,F,2,3,3,0
Male,28,M,2,3,3,1
Male,70,M,12,13,1,0
Male,54,F,0,2,6,1
Male,46,F,14,14,3,0
Male,21,M,1,1,0,1
Male,26,M,1,11,1,1
Male,38,F,1,2,3,1
Male,34,M,1,1,5,0
Male,19,F,48,10,1,1
Male,34,M,0,1,5,0
Male,23,F,0,1,0,1
